,title,appeared,type,rank,factCount,lastActivity,exampleCount,bookCount,paperCount,numberOfUsers,numberOfJobs,originCommunity,country,wikipedia.summary,wikipedia.related
32,Haskell,1990,pl,32,315,2022,23,70,34,37628,495,Yale University && Chalmers University && Microsoft Research && University of Edinburgh,United States and United Kingdom,haskell standardized general-purpose purely functional programming language non-strict semantics strong static typing named logician haskell curry latest standard haskell haskell 2010 may 2016 group working next version haskell 2020 haskell features type system type inference lazy evaluation type classes first appeared haskell programming language main implementation glasgow haskell compiler haskell based semantics syntax language miranda served focus efforts initial haskell working group haskell used widely academia industry,clean fp hope id iswim krc lisp miranda ml standard-ml scheme sisal agda csharp linq cayenne clojure coffeescript curry elm epigram f-sharp frege hack idris java livescript mercury perl-6 python rust scala swift visual-basic.net c c-- llvmir opengl javascript lazyml pandoc-app cryptol jvm
33,TypeScript,2012,pl,33,317,2023,69,56,8,216959,1542,Microsoft,Unknown,typescript free open-source programming language developed maintained microsoft strict syntactical superset javascript adds optional static typing language anders hejlsberg lead architect c creator delphi turbo pascal worked development typescript typescript may used develop javascript applications client-side server-side node.js execution typescript designed development large applications compiles javascript typescript superset javascript existing javascript programs also valid typescript programs typescript supports definition files contain type information existing javascript libraries much like c++ header files describe structure existing object files enables programs use values defined files statically typed typescript entities third-party header files popular libraries jquery mongodb d3.js typescript headers node.js basic modules also available allowing development node.js programs within typescript typescript compiler written typescript compiled javascript licensed apache 2 license typescript included first-class programming language microsoft visual studio 2013 update 2 later beside c microsoft languages official extension allows visual studio 2012 support typescript well,javascript java csharp delphi turbo-pascal jquery mongodb d3 visual-studio-editor eclipse-editor emacs-editor vim-editor sublime-editor visual-studio-code-editor ecmascript maven-pom dart coffeescript elm
34,SAS,1976,pl,34,224,2022,5,96,10,361103,4682,Unknown,United States,sas language computer programming language used statistical analysis created anthony james barr north carolina state university read data common spreadsheets databases output results statistical analyses tables graphs rtf html pdf documents sas language runs compilers used microsoft windows linux various unix mainframe computers sas system world programming system wps sas language compilers,html linux
35,ARM,1985,assembly,35,152,2022,4,52,32,123423,7695,Acorn Computers or Arm Ltd,United Kingdom,arm originally acorn risc machine later advanced risc machine family reduced instruction set computing risc architectures computer processors configured various environments british company arm holdings develops architecture licenses companies design products implement one architectures ¡ª including systems-on-chips soc systems-on-modules som incorporate memory interfaces radios etc also designs cores implement instruction set licenses designs number companies incorporate core designs products processors risc architecture typically require fewer transistors complex instruction set computing cisc architecture x86 processors found personal computers improves cost power consumption heat dissipation characteristics desirable light portable battery-powered devices ¡ª including smartphones laptops tablet computers embedded systems supercomputers consume large amounts electricity arm could also power-efficient solution arm holdings periodically releases updates architectures core designs support 32-bit address space pre-armv3 chips made arm holdings formed original acorn archimedes smaller 32-bit arithmetic instructions arm holdings cores 32-bit fixed-length instructions later versions architecture also support variable-length instruction set provides 32- 16-bit instructions improved code density older cores also provide hardware execution java bytecodes armv8-a architecture announced october 2011 adds support 64-bit address space 64-bit arithmetic new 32-bit fixed-length instruction set 100 billion arm processors produced 2017 arm widely used instruction set architecture terms quantity produced currently widely used cortex cores older `` classic '' cores specialized securcore cores variants available include exclude optional capabilities,x86-isa java-bytecode bbc-basic verilog c assembly-language java csharp perl python mmx javascript android unix ios freebsd linux
36,Lisp,1958,pl,36,173,2022,2,75,25,61481,303,Massachusetts Institute of Technology,United States,lisp historically lisp family computer programming languages long history distinctive fully parenthesized prefix notation originally specified 1958 lisp second-oldest high-level programming language widespread use today fortran older one year lisp changed since early days many dialects existed history today best known general-purpose lisp dialects common lisp scheme lisp originally created practical mathematical notation computer programs influenced notation alonzo church 's lambda calculus quickly became favored programming language artificial intelligence ai research one earliest programming languages lisp pioneered many ideas computer science including tree data structures automatic storage management dynamic typing conditionals higher-order functions recursion self-hosting compiler read¨ceval¨cprint loop name lisp derives `` list processor '' linked lists one lisp 's major data structures lisp source code made lists thus lisp programs manipulate source code data structure giving rise macro systems allow programmers create new syntax new domain-specific languages embedded lisp interchangeability code data gives lisp instantly recognizable syntax program code written s-expressions parenthesized lists function call syntactic form written list function operator 's name first arguments following instance function f takes three arguments would called f arg1 arg2 arg3,arc autolisp clojure common-lisp emacs-lisp eulisp interlisp islisp lfe newlisp portable-standard-lisp racket rpl scheme cadence-skill spice-lisp t information-processing-language clips clu cowsel dylan elixir falcon forth haskell io ioke javascript julia logo lua ml nim nu ops5 perl pop-2 pop-11 python r ruby scala swift smalltalk tcl wolfram fortran s-expressions lisp-machine-lisp openlisp picolisp lisp-2 multics acl2 jvm yarv emacs-editor autocad-app lilypond algol flavors c xml
37,Lua,1993,pl,37,219,2022,8,35,13,58860,1106,Tecgraf,Brazil,lua loo- portuguese lua lu. w meaning moon lightweight multi-paradigm programming language designed primarily embedded systems clients lua cross-platform since interpreter written ansi c relatively simple c api lua originally designed 1993 language extending software applications meet increasing demand customization time provided basic facilities procedural programming languages complicated domain-specific features included rather included mechanisms extending language allowing programmers implement features lua intended general embeddable extension language designers lua focused improving speed portability extensibility ease-of-use development,clu modula-2 scheme snobol falcon gamemonkey-script io javascript julia minid red ruby squirrel tcl lisp python modula awk ada eiffel haskell sql vhdl self perl-6 parrot-vm android c
38,Julia,2012,pl,38,338,2023,22,22,36,81911,85,https://github.com/JuliaLang,Various,julia high-level dynamic programming language designed address needs high-performance numerical analysis computational science without typical need separate compilation fast also effective general-purpose programming web use specification language distinctive aspects julia 's design include type system parametric polymorphism types fully dynamic programming language multiple dispatch core programming paradigm allows concurrent parallel distributed computing direct calling c fortran libraries without glue code julia garbage-collected uses eager evaluation includes efficient libraries floating-point calculations linear algebra random number generation fast fourier transforms regular expression matching,c scheme llvmir fortran ia-32 linux freebsd lisp lua mathematica wolfram matlab perl python r ruby regex unicode utf-8 common-lisp dylan algol fortress html xml json arm powerpc
39,Prolog,1972,pl,39,260,2022,14,100,23,51482,446,University of Edinburgh && Aix-Marseille University,United Kingdom and France,prolog general-purpose logic programming language associated artificial intelligence computational linguistics prolog roots first-order logic formal logic unlike many programming languages prolog intended primarily declarative programming language program logic expressed terms relations represented facts rules computation initiated running query relations language first conceived group around alain colmerauer marseille france early 1970s first prolog system developed 1972 colmerauer philippe roussel prolog one first logic programming languages remains popular among languages today several free commercial implementations available language used theorem proving expert systems term rewriting type inference automated planning well original intended field use natural language processing modern prolog environments support creation graphical user interfaces well administrative networked applications prolog well-suited specific tasks benefit rule-based logical queries searching databases voice control systems filling templates,poplog swi-prolog visual-prolog mercury oz erlang datalog unicode lambda-prolog html xml rdf owl actionscript lisp planner agentspeak
40,Node.js,2009,pl,40,177,2022,5,79,18,374143,6864,OpenJS Foundation,United States,node.js open-source cross-platform javascript run-time environment executes javascript code outside browser typically javascript used primarily client-side scripting scripts written javascript embedded webpage 's html run client-side javascript engine user 's web browser node.js lets developers use javascript write command line tools server-side scripting¡ªrunning scripts server-side produce dynamic web page content page sent user 's web browser consequently node.js represents `` javascript everywhere '' paradigm unifying web application development around single programming language rather different languages server side client side scripts though .js conventional filename extension javascript code name `` node.js '' refer particular file context merely name product node.js event-driven architecture capable asynchronous i/o design choices aim optimize throughput scalability web applications many input/output operations well real-time web applications e.g. real-time communication programs browser games .the node.js distributed development project governed node.js foundation facilitated linux foundation 's collaborative projects program.corporate users node.js software include godaddy groupon ibm linkedin microsoft netflix paypal rakuten sap voxer walmart yahoo,c javascript linux freebsd npm-pm tcp tls udp ecmascript unix coffeescript dart typescript php mps visual-studio-editor eclipse-editor visual-studio-code-editor postgresql mongodb json
41,HTTP,1989,protocol,41,97,2022,2,12,2,33780,771996,The World Wide Web Consortium,United States,hypertext transfer protocol http application protocol distributed collaborative hypermedia information systems http foundation data communication world wide web hypertext structured text uses logical links hyperlinks nodes containing text http protocol exchange transfer hypertext development http initiated tim berners-lee cern 1989 standards development http coordinated internet engineering task force ietf world wide web consortium w3c culminating publication series requests comments rfcs first definition http/1.1 version http common use occurred rfc 2068 1997 although obsoleted rfc 2616 1999 rfc 7230 family rfcs 2014 later version successor http/2 standardized 2015 supported major web servers browsers tls using alpn extension tls 1.2 newer required,ftp smtp tls tcp udp url html css ascii gzip rest isbn
42,Objective-C,1984,pl,42,214,2022,25,15,0,12380,4276,Apple,United States,objective-c general-purpose object-oriented programming language adds smalltalk-style messaging c programming language main programming language used apple os x ios operating systems respective application programming interfaces apis cocoa cocoa touch prior introduction swift programming language objective-c originally developed early 1980s selected main language used next nextstep operating system os x ios derived portable objective-c programs use cocoa cocoa touch libraries using parts may ported reimplemented systems also compiled system supported gnu compiler collection gcc clang objective-c source code 'implementation program files usually .m filename extensions objective-c 'header/interface files .h extensions c header files objective-c++ files denoted .mm file extension,c smalltalk groovy java nu objective-j tom-oopl swift ios simula ada self ruby llvmir linux vala
43,Clojure,2007,pl,43,267,2022,14,60,7,44933,469,"Cognitect, Inc",United States,clojure like `` closure '' dialect lisp programming language clojure general-purpose programming language emphasis functional programming runs java virtual machine common language runtime like lisps clojure treats code data macro system current development process community-driven overseen rich hickey benevolent dictator life bdfl clojure encourages immutability immutable data structures type system entirely dynamic recent efforts also sought implementation gradual typing clojure encourages programmers explicit managing state identity focus programming immutable values explicit progression-of-time constructs intended facilitate developing robust programs especially multithreaded ones clojure used industry firms funding circle walmart puppet large software firms commercial support clojure provided cognitect annual clojure conferences organised every year across globe famous clojure/conj us east coast clojure/west us west coast euroclojure europe latest stable version clojure 1.8 released january 19 2016 first stable release version 1.0 released may 4 2009 clojure free software released eclipse public license,jvm csharp common-lisp erlang haskell mathematica ml prolog scheme java racket ruby elixir lisp maven-pom s-expressions csp actionscript python unicode
44,Scheme,1970,pl,44,181,2022,10,24,23,3796,1174,https://community.scheme.org/,United States,scheme functional programming language one two main dialects programming language lisp unlike common lisp main dialect scheme follows minimalist design philosophy specifying small standard core powerful tools language extension scheme created 1970s mit ai lab released developers guy l. steele gerald jay sussman via series memos known lambda papers first dialect lisp choose lexical scope first require implementations perform tail-call optimization giving stronger support functional programming associated techniques recursive algorithms also one first programming languages support first-class continuations significant influence effort led development common lisp scheme language standardized official ieee standard de facto standard called revisedn report algorithmic language scheme rnrs widely implemented standard r5rs 1998 new standard r6rs ratified 2007 scheme diverse user base due compactness elegance minimalist philosophy also caused wide divergence practical implementations much scheme steering committee calls `` world 's unportable programming language '' `` family dialects '' rather single language,t lisp algol clojure common-lisp dylan eulisp haskell javascript julia lua r s racket ruby rust scala planner ikarus larceny unicode s-expressions fortran c guile emacs-lisp android
45,Assembly language,1960,assembly,45,83,2022,2,0,0,26543,1329,Unknown,Unknown,assembly assembler language often abbreviated asm low-level programming language strong correspondence program 's statements architecture 's machine code instructions.each assembly language specific particular computer architecture operating system contrast high-level programming languages generally portable across multiple architectures require interpreting compiling assembly language may also called symbolic machine code.assembly language usually one statement per machine instruction assembler directives macros symbolic labels program memory locations often also supported assembly code converted executable machine code utility program referred assembler conversion process referred assembly assembling source code,x86-isa fortran algol lisp gas x86-assembly punched-tape ia-32 autocoder pl-i cobol c unix espol turbo-pascal visual-basic pascal hla wasm
46,Erlang,1986,pl,46,265,2022,16,29,37,27148,308,Ericsson,Sweden,erlang er-lang general-purpose concurrent functional programming language well garbage-collected runtime system term erlang used interchangeably erlang/otp otp consists erlang runtime system number ready-to-use components mainly written erlang set design principles erlang programs erlang runtime system known designs well suited systems following characteristics distributed fault-tolerant soft real-time highly available non-stop applications hot swapping code changed without stopping system erlang programming language known following properties immutable data pattern matching functional programming sequential subset erlang language supports eager evaluation single assignment dynamic typing originally proprietary language within ericsson developed joe armstrong robert virding mike williams 1986 released open source 1998 erlang/otp supported maintained otp product unit ericsson,prolog smalltalk plex f-sharp clojure rust scala opa elixir dart oz java ascii occam csp lfe lisp
47,Bash,1989,pl,47,183,2022,14,33,1,61747,4774,GNU,United States,bash unix shell command language written brian fox gnu project free software replacement bourne shell first released 1989 distributed widely default login shell linux distributions apple 's macos formerly os x version also available windows 10 bash command processor typically runs text window user types commands cause actions bash also read execute commands file called script like unix shells supports filename globbing wildcard matching piping documents command substitution variables control structures condition-testing iteration keywords syntax basic features language copied sh features e.g. history copied csh ksh bash posix-compliant shell number extensions shell 's name acronym bourne-again shell punning name bourne shell replaces term `` born '' denotes spiritual rebirth contemporary american christianity security hole bash dating version 1.03 august 1989 dubbed shellshock discovered early september 2014 quickly led range attacks across internet patches fix bugs made available soon bugs identified computers updated,c gettext bourne-shell login linux almquist-shell android regex perl awk unix emacs-editor
48,JQuery,2006,library,48,51,2022,1,2,0,1553841,24780,https://jquery.org/team/,Various,jquery cross-platform javascript library designed simplify client-side scripting html free open-source software using permissive mit license web analysis indicates widely deployed javascript library large margin jquery 's syntax designed make easier navigate document select dom elements create animations handle events develop ajax applications jquery also provides capabilities developers create plug-ins top javascript library enables developers create abstractions low-level interaction animation advanced effects high-level themeable widgets modular approach jquery library allows creation powerful dynamic web pages web applications set jquery core features¡ªdom element selections traversal manipulation¡ªenabled selector engine named `` sizzle '' v1.3 created new `` programming style '' fusing algorithms dom data structures style influenced architecture javascript frameworks like yui v3 dojo later stimulating creation standard selectors api microsoft nokia bundle jquery platforms microsoft includes visual studio use within microsoft 's asp.net ajax asp.net mvc frameworks nokia integrated web run-time widget development platform,javascript html visual-studio-editor css json xml
49,Mathematica,1988,pl,49,190,2022,5,72,21,148741,1553,Wolfram Research,United States,wolfram mathematica usually termed mathematica modern technical computing system spanning areas technical computing ¡ª including neural networks machine learning image processing geometry data science visualizations others system used many technical scientific engineering mathematical computing fields conceived stephen wolfram developed wolfram research champaign illinois wolfram language programming language used mathematica,wolfram linux c java modelica sql fortran cuda opencl http eclipse-editor visual-studio-editor haskell applescript racket visual-basic python clojure excel-app matlab sagemath mongodb wsdl labview
51,Elixir,2011,pl,51,281,2022,36,31,3,55882,214,The Elixir Team,United States,elixir functional concurrent general-purpose programming language runs erlang virtual machine beam elixir builds top erlang shares abstractions building distributed fault-tolerant applications elixir also provides productive tooling extensible design latter supported compile-time metaprogramming macros polymorphism via protocols elixir used companies e-metrotel pinterest moz elixir also used web development companies bleacher report discord inverse building embedded systems community organizes yearly events united states europe japan well minor local events conferences,erlang ruby clojure lfe unicode utf-8
52,CUDA,2007,pl,52,247,2018,6,35,29,38623,769,Nvidia,Unknown,cuda parallel computing platform application programming interface api model created nvidia allows software developers software engineers use cuda-enabled graphics processing unit gpu general purpose processing ¨c approach termed gpgpu general-purpose computing graphics processing units cuda platform software layer gives direct access gpu 's virtual instruction set parallel computational elements execution compute kernels cuda platform designed work programming languages c c++ fortran accessibility makes easier specialists parallel programming use gpu resources contrast prior apis like direct3d opengl required advanced skills graphics programming also cuda supports programming frameworks openacc opencl first introduced nvidia name cuda acronym compute unified device architecture nvidia subsequently dropped use acronym,linux c fortran opengl opencl llvmir python perl java ruby lua haskell r matlab idl mathematica common-lisp f-sharp
53,Dart,2011,pl,53,271,2022,12,30,6,38325,208,Google,Unknown,dart general-purpose programming language originally developed google later approved standard ecma ecma-408 used build web server mobile applications internet things iot devices open-source software permissive free software license modified bsd license dart object-oriented class defined single inheritance language using c-style syntax transcompiles optionally javascript supports interfaces mixins abstract classes reified generics optional typing sound type system,csharp erlang javascript smalltalk strongtalk c android ios eclipse-editor linux sublime-editor emacs-editor vim-editor visual-studio-code-editor algol ruby self coffeescript elm fantom go haxe opa typescript
54,Emacs,1976,editor,54,20,2022,0,0,0,64338,0,"Free Software Foundation, Inc.",Various,"emacs family text editors characterized extensibility manual widely used variant gnu emacs describes `` extensible customizable self-documenting real-time display editor '' development first emacs began mid-1970s work direct descendant gnu emacs continues actively 2018 emacs 10,000 built-in commands many macros user interface allows user combine commands macros automate work implementations emacs typically feature dialect lisp programming language provides deep extension capability allowing users developers write new commands applications editor extensions written manage email files outlines rss feeds well clones eliza pong conway 's life snake tetris.the original emacs written 1976 carl mikkelsen david moon guy l. steele jr. set editor macros teco editor inspired ideas teco-macro editors tecmac tmacs.the popular ported version emacs gnu emacs created richard stallman gnu project xemacs variant branched gnu emacs 1991 gnu emacs xemacs use similar lisp dialects part compatible emacs along vi one two main contenders traditional editor wars unix culture emacs among oldest free open source projects still development",lisp c org teco vi-editor unix java emacs-lisp linux rust ruby lua common-lisp swi-prolog spice-lisp lispworks haskell eclipse-editor sublime-editor latex ghostscript perl python vim-editor isbn
55,Modula-2,1978,pl,55,432,2022,6,1,0,655,0,ETH Zurich,Switzerland,modula-2 computer programming language designed developed 1977 1985 niklaus wirth swiss federal institute technology zurich eth zurich revision pascal serve sole programming language operating system application software personal workstation lilith principal concepts module compilation unit separate compilation coroutine basic building block concurrent processes types procedures allow access machine-specific data modula-2 viewed niklaus wirth successor earlier programming languages pascal modula language design also influenced mesa language new programming possibilities early personal computer xerox alto xerox wirth saw 1976 sabbatical year xerox parc computer magazine byte devoted august 1984 issue language surrounding environment,modula mesa pascal modula-3 oberon ada lua seed7 zonnon isbn
56,MongoDB,2009,application,56,53,2022,2,2,0,318335,3787,https://www.mongodb.com/community/forums/,Unknown,mongodb humongous free open-source cross-platform document-oriented database program classified nosql database program mongodb uses json-like documents schemas mongodb developed mongodb inc. published combination gnu affero general public license apache license,c javascript linux solaris freebsd json nginx-config sql
57,Visual Basic,1991,pl,57,102,2022,6,0,0,15898,3294,Microsoft,United States,visual basic third-generation event-driven programming language integrated development environment ide microsoft component object model com programming model first released 1991 declared legacy 2008 microsoft intended visual basic relatively easy learn use visual basic derived basic enables rapid application development rad graphical user interface gui applications access databases using data access objects remote data objects activex data objects creation activex controls objects programmer create application using components provided visual basic program time community programmers developed third-party components programs written visual basic also use windows api requires external function declarations final release version 6 1998 known simply visual basic april 8 2008 microsoft stopped supporting visual basic 6.0 ide microsoft visual basic team still maintains compatibility visual basic 6.0 applications windows vista windows server 2008 including r2 windows 7 windows 8 windows 8.1 windows server 2012 windows 10 windows server 2016 `` works '' program 2014 software developers still preferred visual basic 6.0 successor visual basic .net 2014 developers lobbied new version vb6 programming environment 2016 visual basic 6.0 technical impact award 19th annual d.i.c.e awards dialect visual basic visual basic applications vba used macro scripting language within several microsoft applications including microsoft office,visual-basic.net visual-studio-editor basic gambas xojo basic4ppc ns-basic vba perl pascal fortran vbscript ruby quickbasic autocad-app asp winwrap-basic lotusscript
58,Tcl,1988,pl,58,235,2022,7,26,2,3106,0,Unknown,Unknown,tcl pronounced `` tickle '' tee cee ell high-level general-purpose interpreted dynamic programming language designed goal simple powerful tcl casts everything mold command even programming constructs like variable assignment procedure definition tcl supports multiple programming paradigms including object-oriented imperative functional programming procedural styles commonly used embedded c applications rapid prototyping scripted applications guis testing tcl interpreters available many operating systems allowing tcl code run wide variety systems tcl compact language used embedded systems platforms full form several small-footprint versions popular combination tcl tk extension referred tcl/tk enables building graphical user interface gui natively tcl tcl/tk included standard python installation form tkinter,awk lisp php tea powershell c python expect unicode regex java unix linux bourne-shell xotcl snit verilog vhdl udp mysql postgresql sqlite
59,ActionScript,1998,pl,59,241,2022,6,108,2,1630,88,Macromedia,Unknown,438 184 actionscript object-oriented programming language originally developed macromedia inc. later acquired adobe systems derivation hypertalk scripting language hypercard dialect ecmascript meaning superset syntax semantics language widely known javascript though originally arose sibling influenced hypertalk actionscript used primarily development websites software targeting adobe flash player platform used web pages form embedded swf files actionscript 3 also used adobe air system development desktop mobile applications language open-source specification offered free charge open source compiler part apache flex open source virtual machine mozilla tamarin available actionscript also used scaleform gfx development 3d video game user interfaces huds,javascript java haxe hypertalk hypercard ecmascript ios android json opengl xml mxml
60,VBA,1993,pl,60,326,2022,1,270,5,3650,511,Microsoft,Unknown,visual basic applications vba implementation microsoft 's event-driven programming language visual basic 6 discontinued 2008 associated integrated development environment ide although visual basic longer supported updated microsoft vba got upgraded 2010 introduction visual basic applications 7 microsoft office applications visual basic applications enables building user-defined functions udfs automating processes accessing windows api low-level functionality dynamic-link libraries dlls supersedes expands abilities earlier application-specific macro programming languages word 's wordbasic used control many aspects host application including manipulating user interface features menus toolbars working custom user forms dialog boxes name suggests vba closely related visual basic uses visual basic runtime library however vba code normally run within host application rather standalone program vba however control one application another using ole automation example vba automatically create microsoft word report microsoft excel data excel collects automatically polled sensors vba use create activex/com dlls later versions add support class modules vba built microsoft office applications including office mac os x except version 2008 microsoft applications including microsoft mappoint microsoft visio vba also implemented least partially applications published companies microsoft including arcgis autocad coreldraw libreoffice reflection solidworks wordperfect,quickbasic visual-basic excel-app autocad-app basic microsoft-basic visual-basic.net vbscript jscript csharp visual-studio-editor
61,Vim,1991,editor,61,34,2022,1,0,0,152267,0,Unknown,Unknown,vim contraction vi improved clone additions bill joy 's vi text editor program unix written bram moolenaar based source port stevie editor amiga first released publicly 1991 vim designed use command-line interface standalone application graphical user interface vim free open-source software released license includes charityware clauses encouraging users enjoy software consider donating children uganda license compatible gnu general public license special clause allowing distribution modified copies `` gnu gpl version 2 later version '' .although originally released amiga vim since developed cross-platform supporting many platforms 2006 voted popular editor amongst linux journal readers 2015 stack overflow developer survey found third popular text editor 2016 stack overflow developer survey found fourth popular development environment,c unix linux ios android vi-editor tcl lua perl python racket ruby regex gzip ftp http unicode
62,Ruby on Rails,2005,framework,62,38,2022,1,1,0,197225,6343,https://github.com/rails,Denmark,ruby rails rails server-side web application framework written ruby mit license rails model¨cview¨ccontroller mvc framework providing default structures database web service web pages encourages facilitates use web standards json xml data transfer html css javascript display user interfacing addition mvc rails emphasizes use well-known software engineering patterns paradigms including convention configuration coc n't repeat dry active record pattern,ruby json xml html javascript jquery coffeescript sass rest nginx-config soap erb jruby mysql postgresql scala
63,WordPress,2003,application,63,35,2022,0,3,0,1350482,14952,Unknown,Unknown,wordpress free open-source content management system cms based php mysql function wordpress installed web server would either part internet hosting service network host right example first scenario may service like wordpress.com example second case could computer running software package wordpress.org local computer may used single-user testing learning purposes features include plugin architecture template system wordpress used 27.5 top 10 million websites february 2017 wordpress reportedly popular website management blogging system use web supporting 60 million websites wordpress also used application domains pervasive display systems pds wordpress released may 27 2003 founders matt mullenweg mike little fork b2/cafelog wordpress released gplv2 later license,php mysql html css ftp android ios
64,BASIC,1964,pl,64,171,2022,8,57,13,7025,0,Dartmouth College,United States,basic acronym beginner 's all-purpose symbolic instruction code family general-purpose high-level programming languages whose design philosophy emphasizes ease use 1964 john g. kemeny thomas e. kurtz designed original basic language dartmouth college new hampshire united states wanted enable students fields science mathematics use computers time nearly use computers required writing custom software something scientists mathematicians tended learn versions basic became widespread microcomputers mid-1970s 1980s microcomputers usually shipped basic often machine 's firmware easy-to-learn language early personal computers allowed small business owners professionals hobbyists consultants develop custom software computers could afford 2010s basic popular many computing dialects new languages influenced basic microsoft 's visual basic,atari-basic dartmouth-basic apple-basic sinclair-basic commodore-basic bbc-basic ti-basic casio-basic microsoft-basic liberty-basic visual-basic freebasic powerbasic gambas algol-60 fortran joss comal visual-basic.net grass autoit autohotkey basic-plus hp-time-shared-basic pick-operating-system msx-basic tiny-basic li-chen-wang altair-basic mbasic ibm-basica qbasic pascal turbo-basic amigabasic c excel-app vbscript csharp java qb64 rapidq purebasic xojo true-basic microsoft-small-basic quickbasic gw-basic lotusscript vba chipmunk-basic hp-basic-for-openvms superbasic staroffice-basic forth
65,Verilog,1984,hardwareDescriptionLanguage,65,238,2022,13,34,18,5176,246,Unknown,United States,verilog standardized ieee 1364 hardware description language hdl used model electronic systems commonly used design verification digital circuits register-transfer level abstraction also used verification analog circuits mixed-signal circuits well design genetic circuits,systemverilog c vhdl openvera property-specification-language
66,awk,1977,pl,66,269,2022,10,26,8,4680,7,Bell Labs,United States,awk programming language designed text processing typically used data extraction reporting tool standard feature unix-like operating systems awk language data-driven scripting language consisting set actions taken streams textual data ¨c either run directly files used part pipeline ¨c purposes extracting transforming text producing formatted reports language extensively uses string datatype associative arrays arrays indexed key strings regular expressions awk limited intended application domain especially designed support one-liner programs language turing-complete even early bell labs users awk often wrote well-structured large awk programs awk created bell labs 1970s name derived surnames authors¡ªalfred aho peter weinberger brian kernighan acronym pronounced name bird auk acts emblem language awk programming language book cover ¨c book often referred abbreviation tapl written lowercase letters awk refers unix plan 9 program runs scripts written awk programming language,c snobol bourne-shell tcl ampl perl lua regex unix sed freebsd solaris java isbn
67,Delphi,1995,pl,67,192,2022,6,88,3,7084,181,"Idera, Inc.",United States,"embarcadero delphi integrated development environment ide desktop mobile web console applications 's also event driven language delphi 's compilers use object pascal dialect pascal generate native code several platforms windows x86 x64 os x 32-bit ios 32 64-bit android linux 64-bit intel delphi part rad studio includes code editor code insight code completion error insight real-time error-checking features refactoring visual forms designer vcl native windows fmx cross-platform partially native per platform integrated debugger platforms including mobile source control svn git mercurial support third-party plugins strong database support unusual delphi project million lines compile seconds ¨c one benchmark gave 170,000 lines per second active development 2016 releases every six months new platforms added approximately every second release delphi originally developed borland rapid application development tool windows successor turbo pascal delphi added full object-orientation existing language since language grown supports many modern language features including generics anonymous methods well unusual features inbuilt string types native com support delphi c++ counterpart c++builder share many core components notably ide visual component library vcl much rtl compatible c++builder 6 onwards consume delphi-language files c++ one project packages compiled c++builder written c++ used within delphi 2007 products released jointly rad studio rad studio shared host delphi c++builder purchased either 2006 borland¡¯s developer tools section transferred borland wholly owned subsidiary known codegear sold embarcadero technologies 2008 2015 embarcadero purchased idera software embarcadero mark retained developer tools division",object-pascal pascal ia-32 ios android linux mercurial turbo-pascal x86-isa assembly-language java uml xml cil php visual-basic oxygene free-pascal
68,Solidity,2014,contractLanguage,68,174,2022,7,22,13,31940,937,Unknown,Unknown,solidity contract-oriented programming language writing smart contracts used implementing smart contracts various blockchain platforms developed gavin wood christian reitwiessner alex beregszaszi liana husikyan yoichi hirai several former ethereum core contributors enable writing smart contracts blockchain platforms ethereum,javascript ecmascript visual-studio-editor azure aws
69,ASCII,1963,characterEncoding,69,21,2001,1,0,0,20715,0,American National Standards Institute,United States,ascii listen ass-kee abbreviated american standard code information interchange character encoding standard electronic communication ascii codes represent text computers telecommunications equipment devices modern character-encoding schemes based ascii although support many additional characters ascii traditional name encoding system internet assigned numbers authority iana prefers updated name us-ascii clarifies system developed us based typographical symbols predominantly use,punched-tape c vi-editor multics unix ftp utf-8 unicode java perl
70,AWS,2006,cloud,70,29,2018,0,2,0,263168,2512,Amazon,United States,amazon web services aws subsidiary amazon.com provides on-demand cloud computing platforms individuals companies governments paid subscription basis free-tier option available 12 months technology allows subscribers disposal full-fledged virtual cluster computers available time internet aws 's version virtual computers attributes real computer including hardware cpu gpu processing local/ram memory hard-disk/ssd storage choice operating systems networking pre-loaded application software web servers databases crm etc aws system also virtualizes console i/o keyboard display mouse allowing aws subscribers connect aws system using modern browser browser acts window virtual computer letting subscribers log-in configure use virtual systems would real physical computer choose deploy aws systems provide internet-based services customers benefit aws technology implemented server farms throughout world maintained amazon subsidiary fees based combination usage hardware/os/software/networking features chosen subscriber required availability redundancy security service options based subscriber needs pays reserve single virtual aws computer cluster virtual computers physical real computer dedicated exclusive use even cluster dedicated physical computers part subscription agreement amazon manages upgrades provides industry-standard security subscriber 's system aws operates many global geographical regions including 6 north america 2017 aws comprised 90 services spanning wide range including computing storage networking database analytics application services deployment management mobile developer tools tools internet things popular include amazon elastic compute cloud ec2 amazon simple storage service s3 services exposed directly end users instead offer functionality apis developers use applications amazon web services¡¯ offerings accessed http using rest architectural style soap protocol amazon markets aws subscribers way obtaining large scale computing capacity quickly cheaply building actual physical server farm services billed based usage service measures usage varying ways,login azure redis mysql postgresql android google-cloud
